x_m,y_m,z_m,distance_m,distance_mm,distance_in
-0.02723956327081646,-0.6405182676682757,0.7938223673854777,0.5560152021854651,556.0152021854651,21.890362290766344
0.006414868738198189,-0.5512178257312208,0.7248362329049269,0.4585487345196495,458.5487345196495,18.05309978423817
0.0011500551472309259,-0.3775429716815001,0.2524568132693923,0.5283847685451997,528.3847685451997,20.802549942724397
0.18543872366651262,-0.07948201666517082,0.7310345038000308,0.18887906854163333,188.87906854163333,7.4361838008517065
-0.1645378832746967,0.07875880456176626,0.3377606059166436,0.43187756578816433,431.8775657881643,17.003053771187574
0.06553923258098987,-0.010860572395946996,0.9581902334024114,0.2807554515232642,280.7554515232642,11.053364233199378
-0.1411068639289966,-0.553093594048338,0.649302284262734,0.4832275719122124,483.2275719122124,19.024707555598912
-0.011744555840573007,-0.5459217137328884,0.7123170671179945,0.4528005301010117,452.8005301010117,17.82679252366188
-0.16543331383775317,-0.23066548815975832,0.8886875455354374,0.2873052253123407,287.3052253123407,11.31122934300554
0.14765889395720205,-0.4627686843140449,0.7164392963940938,0.3981237468817946,398.1237468817946,15.674163263062779
-0.076882310419521,-0.3742288766881771,0.6141923057849903,0.3028916001999493,302.8916001999493,11.924866149604304
-0.29449599344985666,-0.4180464785502529,0.6051138228094735,0.4479800763543594,447.98007635435937,17.63701088009289
-0.11557137584090009,-0.11255779236762445,0.2188313086500221,0.4932773835619635,493.27738356196346,19.420369431573366
0.2710186225462335,-0.5396424183129986,0.6835399195464138,0.5222099626699519,522.2099626699519,20.559447349210707
0.029268174815220364,-0.42939697449056635,0.4451762755875549,0.4214299931835778,421.42999318357784,16.59173201510149
0.4522965224721534,-0.22888340494608073,0.8330031227567243,0.49104648835855125,491.04648835855124,19.332538911753986
-0.19372888864530263,-0.5717738691730816,0.6940601840675917,0.516035171649293,516.035171649293,20.31634534052335
0.23405755307067846,-0.3465663554142267,0.6089184252151023,0.35603517432724324,356.0351743272432,14.017132847529263
-0.03936974423616279,-0.34864298139318506,0.4948672153525887,0.32849786287590305,328.497862875903,12.932986727397758
0.4215167171348041,-0.27765998196415037,0.47555799612946476,0.5109517461239151,510.95174612391514,20.116210477319495
